kernels,time[s]
5776,35.4805
5792,35.3717
5808,35.5119
5824,35.787
5840,35.7295
5856,35.8204
5872,35.9253
5888,36.1103
5904,36.0752
5920,36.1739
5936,36.2719
5952,36.3628
5968,36.6133
5984,36.5757
6000,36.6699
6016,36.9067
6032,36.8674
6048,36.9597
6064,37.0579
6080,37.1496
6096,37.2568
6112,37.5498
6128,37.4241
6144,37.5729
6160,37.6653
6176,37.7651
6192,37.8702
6208,37.9229
6224,38.0682
6240,38.1563
6256,38.2536
6272,38.3533
6288,38.4419
6304,38.5473
6320,38.6366
6336,38.7532
6352,38.8391
6368,38.942
6384,39.0307
6400,39.1242
6416,39.2235
6432,39.2843
6448,39.4231
6464,39.5143
6480,39.7431
6496,39.6881
6512,39.7996
6528,39.9327
6544,39.9795
6560,40.0784
6576,40.1827
6592,40.2783
6608,40.5091
6624,40.4509
6640,40.7222
6656,40.6415
6672,40.8305
6688,40.8534
6704,40.9581
6720,41.1739
6736,41.1383
6752,41.2492
6768,41.3372
6784,41.5772
6800,41.5403
6816,41.6293
6832,41.8499
6848,41.823
6864,41.9253
6880,41.982
6896,42.1093
6912,42.2117
6928,42.3096
6944,42.4064
6960,42.5117
6976,42.6041
6992,42.8626
7008,42.7444
7024,42.903
7040,42.9894
7056,43.0941
7072,43.1884
7088,43.4451
7104,43.3747
7120,43.4753
7136,43.5709
7152,43.6658
7168,43.7676
7184,43.8593
7200,43.9576
7216,44.0654
7232,44.1538
7248,44.2453
7264,44.2878
7280,44.4415
7296,44.5415
7312,44.7841
7328,44.7355
7344,44.8386
7360,44.9402
7376,45.1998
7392,45.1369
7408,45.2333
7424,45.3324
7440,45.4231
7456,45.5194
7472,45.6028
7488,45.706
7504,45.8243
7520,45.9162
7536,46.0109
7552,46.1097
7568,46.199
7584,46.2982
7600,46.4129
7616,46.4904
7632,46.5996
7648,46.6906
7664,46.7914
7680,46.8867
7696,46.9874
7712,47.1148
7728,47.1682
7744,47.276
7760,47.3687
7776,47.4697
7792,47.5663
7808,47.6665
7824,47.769
7840,47.8678
7856,47.9582
7872,48.0631
7888,48.1597
7904,48.257
7920,48.3564
7936,48.4536
7952,48.549
7968,48.6477
7984,48.7456
8000,48.8408
8016,48.9441
8032,49.0294
8048,49.0526
8064,49.2352
8080,49.3459
8096,49.4167
8112,49.5263
8128,49.617
8144,49.705
8160,49.8033
8176,49.9105
8192,49.9933
