kernels,time[s]
1,2.28421
2,2.15568
4,2.17177
8,2.20227
16,2.24436
32,2.3148
64,2.62078
128,2.80362
256,3.39624
512,4.88426
1024,7.67245
2048,12.9579
4096,25.0682
8192,50.0666
