gpus,N,T,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time
1,41984,1,0.000793202,0.000433653,0.207791,N/A,N/A,N/A,N/A
1,43008,1,0.00059904,0.000415563,0.213187,N/A,N/A,N/A,N/A
1,43008,1,0.000606653,0.000413398,0.213082,N/A,N/A,N/A,N/A
1,43008,1,0.000674607,0.000423804,0.213196,N/A,N/A,N/A,N/A
1,44032,1,0.000595205,0.000420248,0.21808,N/A,N/A,N/A,N/A
1,44032,1,0.000795307,0.000430794,0.218155,N/A,N/A,N/A,N/A
1,44032,1,0.000826867,0.000465151,0.218496,N/A,N/A,N/A,N/A
1,45056,1,0.000627466,0.00043477,0.22333,N/A,N/A,N/A,N/A
1,45056,1,0.000636203,0.000424159,0.223439,N/A,N/A,N/A,N/A
1,45056,1,0.000874077,0.000453976,0.223208,N/A,N/A,N/A,N/A
1,46080,1,0.000680617,0.00043931,0.228394,N/A,N/A,N/A,N/A
1,46080,1,0.00071435,0.000443151,0.228334,N/A,N/A,N/A,N/A
1,46080,1,0.00073112,0.00045014,0.228472,N/A,N/A,N/A,N/A
1,47104,1,0.000663791,0.000451957,0.310427,N/A,N/A,N/A,N/A
1,47104,1,0.000677683,0.000453349,0.310716,N/A,N/A,N/A,N/A
1,47104,1,0.000876175,0.000456841,0.310011,N/A,N/A,N/A,N/A
1,48128,1,0.000639269,0.000453628,0.317096,N/A,N/A,N/A,N/A
1,48128,1,0.00090558,0.000458727,0.316883,N/A,N/A,N/A,N/A
1,48128,1,0.000907323,0.000461588,0.317232,N/A,N/A,N/A,N/A
1,49152,1,0.00065548,0.000467392,0.324469,N/A,N/A,N/A,N/A
1,49152,1,0.000674679,0.000480308,0.324253,N/A,N/A,N/A,N/A
1,49152,1,0.00091844,0.0004595,0.32426,N/A,N/A,N/A,N/A
1,50176,1,0.000680058,0.000475698,0.330814,N/A,N/A,N/A,N/A
1,50176,1,0.000940092,0.000482268,0.330715,N/A,N/A,N/A,N/A
1,50176,1,0.00096278,0.000474441,0.330845,N/A,N/A,N/A,N/A
1,51200,1,0.000660229,0.000484853,0.337696,N/A,N/A,N/A,N/A
1,51200,1,0.000693266,0.00049051,0.337438,N/A,N/A,N/A,N/A
1,51200,1,0.000695493,0.000479609,0.337405,N/A,N/A,N/A,N/A
1,52224,1,0.000695283,0.000496162,0.344077,N/A,N/A,N/A,N/A
1,52224,1,0.000975277,0.000493436,0.344686,N/A,N/A,N/A,N/A
1,52224,1,0.000983311,0.000510478,0.344223,N/A,N/A,N/A,N/A
1,53248,1,0.000709329,0.000504409,0.350935,N/A,N/A,N/A,N/A
1,53248,1,0.00098144,0.000503431,0.351156,N/A,N/A,N/A,N/A
1,53248,1,0.000985546,0.0005095,0.351274,N/A,N/A,N/A,N/A
1,54272,1,0.000992184,0.0005102,0.35823,N/A,N/A,N/A,N/A
1,54272,1,0.00100058,0.000507412,0.358161,N/A,N/A,N/A,N/A
1,54272,1,0.00101209,0.000512784,0.358451,N/A,N/A,N/A,N/A
1,55296,1,0.000732029,0.000528366,0.365043,N/A,N/A,N/A,N/A
1,55296,1,0.000742215,0.000523958,0.364728,N/A,N/A,N/A,N/A
1,55296,1,0.001019,0.000522143,0.365167,N/A,N/A,N/A,N/A
1,56320,1,0.000827505,0.000529832,0.371785,N/A,N/A,N/A,N/A
1,56320,1,0.000907047,0.000535413,0.371494,N/A,N/A,N/A,N/A
1,56320,1,0.00104178,0.000533813,0.371984,N/A,N/A,N/A,N/A
1,57344,1,0.000767641,0.000528359,0.37862,N/A,N/A,N/A,N/A
1,57344,1,0.000795016,0.000544352,0.378172,N/A,N/A,N/A,N/A
1,57344,1,0.00106859,0.000543583,0.378906,N/A,N/A,N/A,N/A
1,58368,1,0.0007455,0.000546239,0.385217,N/A,N/A,N/A,N/A
1,58368,1,0.000761083,0.000541845,0.385274,N/A,N/A,N/A,N/A
1,58368,1,0.000791105,0.000552384,0.385371,N/A,N/A,N/A,N/A
1,59392,1,0.000828259,0.000559786,0.392408,N/A,N/A,N/A,N/A
1,59392,1,0.00108549,0.00055029,0.392123,N/A,N/A,N/A,N/A
1,59392,1,0.00111036,0.000547916,0.392221,N/A,N/A,N/A,N/A
1,60416,1,0.00104046,0.000564195,0.398788,N/A,N/A,N/A,N/A
1,60416,1,0.00109332,0.000563281,0.39914,N/A,N/A,N/A,N/A
1,60416,1,0.00110707,0.000575082,0.399077,N/A,N/A,N/A,N/A
1,61440,1,0.000800606,0.000575643,0.405803,N/A,N/A,N/A,N/A
1,61440,1,0.000975154,0.000575091,0.405719,N/A,N/A,N/A,N/A
1,61440,1,0.00112104,0.000577389,0.406051,N/A,N/A,N/A,N/A
1,62464,1,0.00107908,0.000576767,0.514501,N/A,N/A,N/A,N/A
1,62464,1,0.00113922,0.000587592,0.514503,N/A,N/A,N/A,N/A
1,62464,1,0.00114074,0.000582837,0.514654,N/A,N/A,N/A,N/A
1,63488,1,0.000825677,0.000586956,0.523438,N/A,N/A,N/A,N/A
1,63488,1,0.00115576,0.000591846,0.52297,N/A,N/A,N/A,N/A
1,63488,1,0.00115577,0.000593879,0.523,N/A,N/A,N/A,N/A
1,64512,1,0.000847061,0.00060645,0.531612,N/A,N/A,N/A,N/A
1,64512,1,0.00116134,0.00059436,0.531648,N/A,N/A,N/A,N/A
1,64512,1,0.00116818,0.000606931,0.531649,N/A,N/A,N/A,N/A
1,65536,1,0.000820507,0.000639266,0.54024,N/A,N/A,N/A,N/A
1,65536,1,0.00100392,0.000611123,0.540188,N/A,N/A,N/A,N/A
1,65536,1,0.00118909,0.000603169,0.540041,N/A,N/A,N/A,N/A
1,66560,1,0.000836028,0.000603169,0.548775,N/A,N/A,N/A,N/A
1,66560,1,0.00105394,0.000623422,0.548692,N/A,N/A,N/A,N/A
1,66560,1,0.00121227,0.000622373,0.548996,N/A,N/A,N/A,N/A
1,67584,1,0.00101132,0.000621807,0.556996,N/A,N/A,N/A,N/A
1,67584,1,0.00122121,0.000630267,0.556693,N/A,N/A,N/A,N/A
1,67584,1,0.00125451,0.00062579,0.556911,N/A,N/A,N/A,N/A
1,68608,1,0.00117573,0.000645763,0.565459,N/A,N/A,N/A,N/A
1,68608,1,0.00122029,0.000640455,0.565256,N/A,N/A,N/A,N/A
1,68608,1,0.00127253,0.000625228,0.565399,N/A,N/A,N/A,N/A
1,69632,1,0.000875964,0.000653306,0.573914,N/A,N/A,N/A,N/A
1,69632,1,0.000917452,0.000643181,0.573834,N/A,N/A,N/A,N/A
1,69632,1,0.000917532,0.000638159,0.573768,N/A,N/A,N/A,N/A
1,70656,1,0.000922758,0.000665109,0.582068,N/A,N/A,N/A,N/A
1,70656,1,0.00126875,0.000637101,0.581982,N/A,N/A,N/A,N/A
1,70656,1,0.00128189,0.000644857,0.582035,N/A,N/A,N/A,N/A
1,71680,1,0.000908595,0.000657927,0.590687,N/A,N/A,N/A,N/A
1,71680,1,0.00128001,0.000651352,0.590503,N/A,N/A,N/A,N/A
1,71680,1,0.00128945,0.000661347,0.590687,N/A,N/A,N/A,N/A
1,72704,1,0.000924799,0.000656181,0.599367,N/A,N/A,N/A,N/A
1,72704,1,0.00099204,0.000660149,0.599227,N/A,N/A,N/A,N/A
1,72704,1,0.00131555,0.000671465,0.599182,N/A,N/A,N/A,N/A
1,73728,1,0.00123497,0.000680696,0.607878,N/A,N/A,N/A,N/A
1,73728,1,0.00132207,0.000663721,0.608055,N/A,N/A,N/A,N/A
1,73728,1,0.00133399,0.000674749,0.607981,N/A,N/A,N/A,N/A
1,74752,1,0.00133093,0.000681042,0.616424,N/A,N/A,N/A,N/A
1,74752,1,0.00135634,0.000674887,0.616077,N/A,N/A,N/A,N/A
1,74752,1,0.00137248,0.000679988,0.615932,N/A,N/A,N/A,N/A
