gpus,N,T,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time
2,311296,1,0.00893274,0.00644199,2.99931,0.00521167,3.7815e-05,0.00733412,0.00728508
2,311296,1,0.00897762,0.0047823,2.96796,0.00473428,5.8203e-05,0.00671558,0.00668096
2,327680,1,0.00547022,0.00544384,3.57253,0.00487129,5.2153e-05,0.00755913,0.00753235
2,327680,1,0.00851307,0.00489194,3.54384,0.00488791,2.5816e-05,0.00688502,0.00685324
2,327680,1,0.00938598,0.00484528,3.55148,0.00454185,3.3693e-05,0.0064947,0.00647272
2,344064,1,0.00537387,0.00390275,3.74659,0.00497259,2.4944e-05,0.00699889,0.00697594
2,344064,1,0.00877335,0.00525258,3.76998,0.00471426,2.439e-05,0.00662227,0.00659199
2,344064,1,0.00984901,0.00527624,3.73036,0.00515655,2.6667e-05,0.00720608,0.00716665
3,16384,1,0.000789389,0.00216736,0.0377507,0.00473971,1.4096e-05,0.00643499,0.00640615
3,16384,1,0.000798722,0.00219148,0.037379,0.00437291,1.4123e-05,0.00606196,0.00601722
3,16384,1,0.00080659,0.00251243,0.0383037,0.00566427,2.0798e-05,0.00762091,0.00759444
3,49152,1,0.00100014,0.00273333,0.121169,0.00548638,2.5001e-05,0.00751748,0.00749013
3,49152,1,0.00102779,0.00224572,0.121481,0.00572507,1.3927e-05,0.00736935,0.00734551
3,49152,1,0.00175063,0.00303887,0.120339,0.00538,2.148e-05,0.00748098,0.00743914
3,81920,1,0.00261106,0.00257221,0.339587,0.00514316,1.3997e-05,0.00682803,0.00680584
3,81920,1,0.00261966,0.00292432,0.332054,0.00446632,1.405e-05,0.00650942,0.00648384
3,81920,1,0.00282802,0.00259422,0.340103,0.00474556,1.4271e-05,0.00645494,0.00642672
3,114688,1,0.00220523,0.00300807,0.495356,0.00539611,2.5327e-05,0.00730967,0.00728444
3,114688,1,0.00381461,0.00388725,0.489207,0.00467256,1.4083e-05,0.00700526,0.00695804
3,114688,1,0.00439973,0.00292974,0.478119,0.00456734,1.4016e-05,0.00640201,0.00637698
3,147456,1,0.00284975,0.00368535,0.626625,0.00690908,2.4131e-05,0.00929094,0.00926149
3,147456,1,0.00478118,0.00327325,0.623958,0.00483965,1.4186e-05,0.00687427,0.0068437
3,147456,1,0.00561227,0.00287963,0.622573,0.00456226,1.3997e-05,0.00620664,0.00617856
3,180224,1,0.00425148,0.00365195,0.996706,0.00487513,2.4701e-05,0.00681272,0.00678057
3,180224,1,0.00544082,0.00384614,0.979193,0.00529394,3.1472e-05,0.0073323,0.0073038
3,180224,1,0.0058306,0.00354439,0.972293,0.00466325,1.4594e-05,0.00661278,0.00658557
3,212992,1,0.00431048,0.0044545,1.14978,0.00527122,4.5936e-05,0.00722891,0.00720473
3,212992,1,0.00798061,0.00495889,1.13897,0.005109,4.2682e-05,0.00713979,0.00711521
3,212992,1,0.00799755,0.00448351,1.11129,0.00463332,2.9254e-05,0.00696776,0.00693967
4,16384,1,0.000910029,0.00344767,0.0385365,0.00545683,1.8225e-05,0.00824295,0.00821289
4,16384,1,0.000911721,0.00271118,0.0375665,0.00447626,1.8407e-05,0.0066298,0.00660227
4,16384,1,0.000918597,0.00230519,0.0374617,0.00441587,1.809e-05,0.00617159,0.00614522
4,49152,1,0.0013233,0.00286223,0.103778,0.00436955,2.0644e-05,0.00636955,0.00632844
4,49152,1,0.00178161,0.00250668,0.10385,0.00474736,1.8314e-05,0.00645024,0.00642441
4,49152,1,0.00213965,0.00248733,0.104174,0.00443597,1.904e-05,0.00610558,0.00607518
4,81920,1,0.00294004,0.00273032,0.19835,0.00491266,1.8276e-05,0.00663049,0.00659954
4,81920,1,0.00301997,0.00274555,0.198206,0.00458035,2.8801e-05,0.00631132,0.00628645
4,81920,1,0.00346594,0.00330341,0.198957,0.00549946,2.5458e-05,0.00774798,0.00771536
4,114688,1,0.00410288,0.00442889,0.489056,0.00495569,1.8741e-05,0.00762829,0.00760218
4,114688,1,0.00425805,0.0028658,0.473617,0.00450244,1.8281e-05,0.00621426,0.00617628
4,114688,1,0.00527035,0.0033542,0.484433,0.00442743,3.377e-05,0.00627183,0.0062311
4,147456,1,0.00526093,0.00364381,0.622864,0.00511003,3.0317e-05,0.0070525,0.00702231
4,147456,1,0.00674692,0.00356379,0.625171,0.00712864,8.4362e-05,0.00892835,0.00889834
4,147456,1,0.00678051,0.00372435,0.616506,0.00469061,3.0544e-05,0.00650155,0.00646598
4,180224,1,0.00493524,0.00437159,0.735334,0.00590668,6.2171e-05,0.00799047,0.00796011
4,180224,1,0.0059305,0.00434268,0.706587,0.00493528,3.4538e-05,0.00709764,0.00706904
4,180224,1,0.00600903,0.00375038,0.707723,0.00442681,3.8196e-05,0.00622826,0.00619511
4,212992,1,0.00630942,0.00406331,0.847247,0.00489822,4.1396e-05,0.00669992,0.00667505
4,212992,1,0.00818607,0.00416955,0.822454,0.00501088,2.8227e-05,0.00678724,0.00673299
4,212992,1,0.00823461,0.00421038,0.8209,0.0045842,3.5406e-05,0.00635399,0.00632763
4,245760,1,0.00678664,0.00460234,1.28432,0.00507702,5.9e-05,0.00685097,0.00681367
4,245760,1,0.00749826,0.00510962,1.26193,0.00453815,3.6863e-05,0.00678533,0.00673931
4,245760,1,0.00934643,0.00583965,1.28734,0.00610102,5.5775e-05,0.00825873,0.00822762
4,278528,1,0.00872075,0.00595329,1.45231,0.00721227,5.0786e-05,0.00982011,0.00979056
4,278528,1,0.0117269,0.0048058,1.41771,0.00448911,3.7138e-05,0.00626721,0.00623951
4,278528,1,0.0136044,0.00412428,1.44802,0.00642593,3.0181e-05,0.00855292,0.00852392
4,311296,1,0.00600921,0.00397507,1.60586,0.0045831,3.8763e-05,0.0064008,0.00636804
4,311296,1,0.010111,0.00474212,1.612,0.00488582,3.0904e-05,0.00665751,0.00663135
4,311296,1,0.0116561,0.00500725,1.58368,0.00456257,3.4912e-05,0.00635915,0.00633091
4,344064,1,0.00781179,0.00499694,2.21335,0.00588312,5.7236e-05,0.00802383,0.00799392
4,344064,1,0.0114544,0.00511793,2.20336,0.00444084,3.4744e-05,0.00622538,0.00618795
4,344064,1,0.0133662,0.00514771,2.215,0.00448932,3.6684e-05,0.00629193,0.00626585
4,376832,1,0.0103989,0.00574532,2.45123,0.00585744,4.9825e-05,0.00767475,0.00765116
