gpus,N,T,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time
2,36864,1,0.00102571,0.00519706,0.129732,0.0124784,1.6902e-05,0.0169419,0.0168491
2,37888,1,0.000836656,0.00274213,0.126503,0.00583397,1.334e-05,0.00803069,0.00799032
2,37888,1,0.000940025,0.00519776,0.133098,0.0125475,3.2267e-05,0.0170664,0.0169784
2,37888,1,0.00138295,0.00643558,0.135033,0.0146013,3.6528e-05,0.0202242,0.0201251
2,38912,1,0.000909573,0.00287022,0.129373,0.0057093,1.2921e-05,0.00801588,0.00798054
2,38912,1,0.00103507,0.0058392,0.137919,0.0141795,3.0172e-05,0.0193007,0.0192268
2,38912,1,0.00143198,0.00645381,0.139007,0.0151942,3.136e-05,0.0208309,0.0207457
2,39936,1,0.000884706,0.00631447,0.14104,0.0140225,2.8636e-05,0.0196592,0.0195809
2,39936,1,0.000898875,0.00634451,0.142145,0.0149154,1.4247e-05,0.0206157,0.020524
2,39936,1,0.00143596,0.00606905,0.141732,0.0145353,3.3175e-05,0.0197851,0.0196992
2,40960,1,0.000900564,0.00323607,0.136176,0.00593887,1.3899e-05,0.00858706,0.00854697
2,40960,1,0.000967683,0.00299287,0.13608,0.00581672,1.3969e-05,0.0082215,0.00818302
2,40960,1,0.00109206,0.00622955,0.146866,0.0165551,4.1766e-05,0.0220825,0.0219884
2,41984,1,0.000967181,0.00593733,0.147429,0.0136804,3.0451e-05,0.0188999,0.0188322
2,41984,1,0.00140216,0.00635589,0.148053,0.0144711,3.1569e-05,0.0200004,0.0199138
2,41984,1,0.00150336,0.00645158,0.148271,0.0145152,3.2407e-05,0.0200939,0.020011
2,43008,1,0.000994979,0.0063237,0.151148,0.0143909,2.4375e-05,0.0200098,0.0199251
2,43008,1,0.00100149,0.0025949,0.143103,0.00619345,3.988e-05,0.00816381,0.00812232
2,43008,1,0.00111616,0.00618492,0.150796,0.0139599,1.341e-05,0.019397,0.0193123
2,44032,1,0.000962223,0.0058987,0.153868,0.0138407,3.129e-05,0.0190288,0.018927
2,44032,1,0.00103941,0.00378811,0.146855,0.00667775,1.2851e-05,0.00980674,0.0097663
2,44032,1,0.00144651,0.0063904,0.154619,0.0144789,1.5086e-05,0.0199863,0.0199023
2,45056,1,0.000988636,0.00299399,0.149313,0.00576678,1.5366e-05,0.00815313,0.00811576
