N,gpus,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time
10240,9,0.000983632,0.00372983,18.4858,0.0405861,5.35214,0.0240239,0.0210766
10240,9,0.000942282,0.00336945,18.4817,0.0422854,5.34364,0.0266916,0.024111
10240,9,0.000973891,0.0038158,18.4253,0.0357346,5.34135,0.0203722,0.0173372
10240,9,0.000929328,0.00455817,17.9712,0.0400426,4.98291,0.0250466,0.0213214
10240,9,0.000981087,0.00363452,18.4747,0.0443536,5.34232,0.0281895,0.0253533
1024,10,0.000486336,0.0036933,9.43276,0.0424313,7.27942,0.0268901,0.0240971
1024,10,0.000455162,0.00361606,9.38962,0.0482658,7.22771,0.0319372,0.0291888
1024,10,0.000472363,0.00354497,9.37479,0.0383351,7.21873,0.0228219,0.0201422
1024,10,0.000456644,0.00454627,8.8728,0.0411348,6.72267,0.0266874,0.0230664
1024,10,0.00046818,0.00374847,8.8668,0.0420973,6.71755,0.0267317,0.0238225
1024,11,0.00057573,0.00438537,10.3006,0.0496264,8.13034,0.0340291,0.0306576
1024,11,0.000527219,0.00376784,10.8255,0.0422037,8.66085,0.0260358,0.0231968
1024,11,0.00050997,0.00406709,10.7164,0.044663,8.55118,0.0273508,0.0242577
1024,11,0.00052734,0.00507358,10.3546,0.040091,8.19156,0.0250541,0.0209698
1024,11,0.0005419,0.00506225,10.2783,0.0411172,8.1166,0.0264375,0.022386
1024,12,0.000553938,0.00437748,12.6771,0.0412085,10.4948,0.024625,0.021261
1024,12,0.000570095,0.00504007,12.1496,0.0417463,9.98169,0.0262306,0.0222698
1024,12,0.00055681,0.00452276,12.1535,0.0428001,9.98269,0.026829,0.0234109
1024,12,0.000546734,0.00464738,12.1756,0.0524225,9.99357,0.0359415,0.032383
1024,12,0.000586643,0.00447237,12.1353,0.0420975,9.96259,0.0254673,0.0221093
1024,13,0.000661045,0.00483715,14.0871,0.0432785,11.8274,0.0272764,0.0236459
1024,13,0.000626732,0.00464356,14.1125,0.0510873,11.8486,0.0344474,0.0310075
1024,13,0.000608673,0.00479788,13.9539,0.0427267,11.7397,0.0267692,0.0231714
1024,13,0.000627384,0.00477426,14.0108,0.0416435,11.7953,0.0251752,0.0215984
1024,13,0.000611733,0.00771092,14.0516,0.0493524,11.8324,0.0361695,0.0296451
