gpus,N,T,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time,node,blocksize
1,64512,1,0.00074409,0.000759822,0.465467,N/A,N/A,N/A,N/A,homepc,256
1,64512,1,0.000754151,0.000746934,0.45663,N/A,N/A,N/A,N/A,homepc,384
1,64512,1,0.000758027,0.000745163,0.409728,N/A,N/A,N/A,N/A,homepc,128
1,64512,1,0.000875913,0.000754653,0.463158,N/A,N/A,N/A,N/A,homepc,1024
1,64640,1,0.000755827,0.000732687,0.410142,N/A,N/A,N/A,N/A,homepc,128
1,64640,1,0.000901542,0.000726977,0.455214,N/A,N/A,N/A,N/A,homepc,640
1,64768,1,0.00074473,0.000723936,0.410883,N/A,N/A,N/A,N/A,homepc,128
1,64768,1,0.000749162,0.000758224,0.4677,N/A,N/A,N/A,N/A,homepc,256
1,64896,1,0.000754581,0.000779147,0.412405,N/A,N/A,N/A,N/A,homepc,128
1,64896,1,0.000765038,0.000771801,0.470335,N/A,N/A,N/A,N/A,homepc,384
1,65024,1,0.000746655,0.000728616,0.413445,N/A,N/A,N/A,N/A,homepc,128
1,65024,1,0.000747079,0.00072033,0.415717,N/A,N/A,N/A,N/A,homepc,512
1,65024,1,0.000748333,0.000751509,0.466237,N/A,N/A,N/A,N/A,homepc,256
1,65024,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,homepc,896
1,65152,1,0.000756566,0.00078043,0.414379,N/A,N/A,N/A,N/A,homepc,128
1,65280,1,0.00074715,0.000761541,0.467108,N/A,N/A,N/A,N/A,homepc,256
1,65280,1,0.000750988,0.000820679,0.41415,N/A,N/A,N/A,N/A,homepc,128
1,65280,1,0.00075707,0.000843139,0.461984,N/A,N/A,N/A,N/A,homepc,640
1,65280,1,0.000767911,0.000809287,0.463795,N/A,N/A,N/A,N/A,homepc,384
1,65280,1,0.000811958,0.000757425,0.531925,N/A,N/A,N/A,N/A,homepc,768
1,65408,1,0.00110182,0.000787939,0.4148,N/A,N/A,N/A,N/A,homepc,128
1,65536,1,0.000756401,0.000730149,0.416204,N/A,N/A,N/A,N/A,homepc,128
1,65536,1,0.000758482,0.000791855,0.469991,N/A,N/A,N/A,N/A,homepc,256
1,65536,1,0.000759271,0.000726668,0.421036,N/A,N/A,N/A,N/A,homepc,512
1,65536,1,0.000846014,0.000768113,0.475779,N/A,N/A,N/A,N/A,homepc,1024
1,65664,1,0.000763414,0.000764315,0.468412,N/A,N/A,N/A,N/A,homepc,384
1,65664,1,0.000769787,0.000728531,0.420183,N/A,N/A,N/A,N/A,homepc,128
1,65792,1,0.000764174,0.000760984,0.47564,N/A,N/A,N/A,N/A,homepc,256
1,65792,1,0.000793391,0.000742596,0.420435,N/A,N/A,N/A,N/A,homepc,128
1,65920,1,0.000756433,0.000741912,0.41961,N/A,N/A,N/A,N/A,homepc,128
1,65920,1,0.000764675,0.000834159,0.468932,N/A,N/A,N/A,N/A,homepc,640
1,65920,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,homepc,896
1,66048,1,0.000758334,0.000785358,0.533706,N/A,N/A,N/A,N/A,homepc,768
1,66048,1,0.000761344,0.000777963,0.42775,N/A,N/A,N/A,N/A,homepc,512
1,66048,1,0.000766382,0.000772738,0.47865,N/A,N/A,N/A,N/A,homepc,384
1,66048,1,0.000781534,0.000829693,0.42057,N/A,N/A,N/A,N/A,homepc,128
1,66048,1,0.000800776,0.000786248,0.47494,N/A,N/A,N/A,N/A,homepc,256
1,66176,1,0.00079124,0.000752434,0.422613,N/A,N/A,N/A,N/A,homepc,128
1,66304,1,0.000767564,0.000765243,0.423233,N/A,N/A,N/A,N/A,homepc,128
1,66304,1,0.000790261,0.000787367,0.478097,N/A,N/A,N/A,N/A,homepc,256
1,66432,1,0.000770526,0.000779665,0.48483,N/A,N/A,N/A,N/A,homepc,384
1,66432,1,0.000788514,0.000760848,0.423701,N/A,N/A,N/A,N/A,homepc,128
1,66560,1,0.0007699,0.00077659,0.430324,N/A,N/A,N/A,N/A,homepc,512
1,66560,1,0.000786079,0.00077675,0.484991,N/A,N/A,N/A,N/A,homepc,1024
1,66560,1,0.000796357,0.000852717,0.480036,N/A,N/A,N/A,N/A,homepc,256
1,66560,1,0.000807603,0.00076587,0.485547,N/A,N/A,N/A,N/A,homepc,640
1,66560,1,0.000947354,0.000861798,0.42725,N/A,N/A,N/A,N/A,homepc,128
1,66688,1,0.000785909,0.000744471,0.425736,N/A,N/A,N/A,N/A,homepc,128
1,66816,1,0.000773426,0.000783812,0.541351,N/A,N/A,N/A,N/A,homepc,768
1,66816,1,0.000776583,0.000782313,0.482394,N/A,N/A,N/A,N/A,homepc,384
1,66816,1,0.000780545,0.000803114,0.480432,N/A,N/A,N/A,N/A,homepc,256
1,66816,1,0.000870974,0.000736223,0.429295,N/A,N/A,N/A,N/A,homepc,128
1,66816,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,homepc,896
1,66944,1,0.000771152,0.000763588,0.42764,N/A,N/A,N/A,N/A,homepc,128
1,67072,1,0.000767895,0.000767591,0.429057,N/A,N/A,N/A,N/A,homepc,128
1,67072,1,0.000778646,0.000837265,0.431615,N/A,N/A,N/A,N/A,homepc,512
1,67072,1,0.000796025,0.000747698,0.484015,N/A,N/A,N/A,N/A,homepc,256
1,67200,1,0.000775242,0.000797434,0.48223,N/A,N/A,N/A,N/A,homepc,384
1,67200,1,0.000790532,0.000753557,0.430565,N/A,N/A,N/A,N/A,homepc,128
1,67200,1,0.00081929,0.000775141,0.485484,N/A,N/A,N/A,N/A,homepc,640
1,67328,1,0.000781018,0.000750241,0.488306,N/A,N/A,N/A,N/A,homepc,256
1,67328,1,0.000789085,0.000771432,0.432344,N/A,N/A,N/A,N/A,homepc,128
1,67456,1,0.000789292,0.000814601,0.431177,N/A,N/A,N/A,N/A,homepc,128
1,67584,1,0.000774022,0.000783849,0.55754,N/A,N/A,N/A,N/A,homepc,768
1,67584,1,0.000774958,0.000777073,0.436759,N/A,N/A,N/A,N/A,homepc,512
1,67584,1,0.000781389,0.000913378,0.493812,N/A,N/A,N/A,N/A,homepc,1024
1,67584,1,0.000801543,0.000804662,0.488485,N/A,N/A,N/A,N/A,homepc,384
1,67584,1,0.000802222,0.000779191,0.435119,N/A,N/A,N/A,N/A,homepc,128
1,67584,1,0.00082124,0.000796411,0.495349,N/A,N/A,N/A,N/A,homepc,256
1,67712,1,0.000787815,0.000900851,0.434174,N/A,N/A,N/A,N/A,homepc,128
1,67712,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,homepc,896
1,67840,1,0.000782239,0.000780448,0.499963,N/A,N/A,N/A,N/A,homepc,256
1,67840,1,0.000783864,0.000783098,0.435787,N/A,N/A,N/A,N/A,homepc,128
1,67840,1,0.000801514,0.000839427,0.486173,N/A,N/A,N/A,N/A,homepc,640
1,67968,1,0.000784216,0.000793372,0.495569,N/A,N/A,N/A,N/A,homepc,384
1,67968,1,0.000785482,0.000829808,0.438142,N/A,N/A,N/A,N/A,homepc,128
1,68096,1,0.000789122,0.000800348,0.495612,N/A,N/A,N/A,N/A,homepc,256
1,68096,1,0.000822245,0.000750365,0.439132,N/A,N/A,N/A,N/A,homepc,128
1,68096,1,0.000826745,0.000855622,0.441816,N/A,N/A,N/A,N/A,homepc,512
1,68224,1,0.000800999,0.000764828,0.438481,N/A,N/A,N/A,N/A,homepc,128
1,68352,1,0.000789715,0.000763528,0.494639,N/A,N/A,N/A,N/A,homepc,384
1,68352,1,0.00080652,0.000816365,0.560317,N/A,N/A,N/A,N/A,homepc,768
1,68352,1,0.00081449,0.000811071,0.493604,N/A,N/A,N/A,N/A,homepc,256
1,68352,1,0.00104251,0.000783304,0.44094,N/A,N/A,N/A,N/A,homepc,128
1,68480,1,0.000790293,0.000800627,0.441983,N/A,N/A,N/A,N/A,homepc,128
1,68480,1,0.000793644,0.000789989,0.493506,N/A,N/A,N/A,N/A,homepc,640
1,68608,1,0.000792701,0.000792688,0.490306,N/A,N/A,N/A,N/A,homepc,256
1,68608,1,0.000795762,0.00078071,0.442243,N/A,N/A,N/A,N/A,homepc,128
1,68608,1,0.000918925,0.000809542,0.447323,N/A,N/A,N/A,N/A,homepc,512
1,68608,1,0.00118169,0.000781734,0.504792,N/A,N/A,N/A,N/A,homepc,1024
