scheme,N,gpus,htod,kernel,dtoh,T
cpall,20480,10,8.08349,0.0679619,0.200973,10
cpall,24576,10,8.17581,0.089576,0.355475,10
cpall,28672,10,N/A,N/A,N/A,N/A
cpall,32768,10,N/A,N/A,N/A,N/A
cpall,36864,10,N/A,N/A,N/A,N/A
cpall,1024,11,0.025738,0.00265193,0.001966,10
cpall,2048,11,0.083379,0.00252819,0.00426006,10
cpall,4096,11,0.341155,0.0044241,0.010824,10
cpall,8192,11,1.44385,0.0142071,0.092396,10
cpall,12288,11,3.26611,0.029367,0.1765,10
cpall,16384,11,5.22837,0.0489399,0.238541,10
cpall,20480,11,7.98956,0.066942,0.352242,10
cpall,24576,11,8.49581,0.0863831,0.324589,10
cpall,28672,11,N/A,N/A,N/A,N/A
cpall,32768,11,N/A,N/A,N/A,N/A
cpall,36864,11,N/A,N/A,N/A,N/A
cpall,1024,12,0.031003,0.00288606,0.00176811,10
cpall,2048,12,0.0959771,0.00258899,0.00472403,10
cpall,4096,12,0.429488,0.00417209,0.0115681,10
cpall,8192,12,1.57701,0.0122881,0.0395901,10
cpall,12288,12,2.87792,0.0274801,0.0945079,10
cpall,16384,12,6.38017,0.0457151,0.205586,10
cpall,20480,12,8.96182,0.0621459,0.496047,10
cpall,24576,12,12.0314,0.0900009,0.269139,10
cpall,28672,12,N/A,N/A,N/A,N/A
cpall,32768,12,N/A,N/A,N/A,N/A
cpall,36864,12,N/A,N/A,N/A,N/A
cpall,1024,13,0.0348461,0.00285792,0.00195408,10
cpall,2048,13,0.107017,0.00242114,0.00457096,10
cpall,4096,13,0.347907,0.00407314,0.0106032,10
cpall,8192,13,1.55864,0.011693,0.0714819,10
cpall,12288,13,3.41565,0.026032,0.178734,10
cpall,16384,13,4.26152,0.042944,0.171676,10
cpall,20480,13,6.85785,0.054189,0.223693,10
cpall,24576,13,10.019,0.0757291,0.337476,10
cpall,28672,13,13.8498,0.091624,0.432123,10
cpall,32768,13,N/A,N/A,N/A,N/A
cpall,36864,13,N/A,N/A,N/A,N/A
cpall,1024,14,0.035249,0.00292897,0.00202203,10
cpall,2048,14,0.106842,0.00258994,0.004632,10
cpall,4096,14,0.387268,0.00400615,0.0108058,10
cpall,8192,14,1.57477,0.012265,0.0549641,10
cpall,12288,14,3.14717,0.0239871,0.107647,10
cpall,16384,14,6.43968,0.039016,0.258338,10
cpall,20480,14,11.3704,0.0533969,0.246041,10
cpall,24576,14,12.038,0.0703499,0.334093,10
cpall,28672,14,18.1746,0.116559,0.424649,10
cpall,32768,14,N/A,N/A,N/A,N/A
cpall,36864,14,N/A,N/A,N/A,N/A
cpall,1024,15,0.0447652,0.00312209,0.00213909,10
cpall,2048,15,0.146035,0.00253487,0.00481296,10
cpall,4096,15,0.400886,0.00380802,0.0104799,10
cpall,8192,15,1.63259,0.011127,0.0440261,10
cpall,12288,15,3.18279,0.0212162,0.0860872,10
cpall,16384,15,5.89604,0.0368111,0.165553,10
cpall,20480,15,7.27497,0.0478671,0.219482,10
cpall,24576,15,10.6526,0.075177,0.30587,10
cpall,28672,15,15.3371,0.08076,0.39054,10
cpall,32768,15,N/A,N/A,N/A,N/A
cpall,36864,15,N/A,N/A,N/A,N/A
cpall,1024,16,0.0398011,0.00387812,0.00226307,10
cpall,2048,16,0.123348,0.00253892,0.0053401,10
cpall,4096,16,0.378379,0.00397992,0.0113132,10
cpall,8192,16,1.64047,0.00982881,0.0406208,10
cpall,12288,16,3.08849,0.020009,0.085675,10
cpall,16384,16,8.2166,0.0330219,0.131216,10
cpall,20480,16,12.4204,0.0503991,0.227418,10
cpall,24576,16,15.1557,0.0737951,0.300728,10
cpall,28672,16,19.8144,0.0912521,0.459613,10
cpall,32768,16,N/A,N/A,N/A,N/A
cpall,36864,16,N/A,N/A,N/A,N/A
