O3,gpus,N,iter,usr_htod_time,usr_kernel_time,usr_dtoh_time,dep_res_creation_time,dep_res_exec_time,linearization_time
true,4,1024,2,0.00567857,0.228755,0.00975374,0.0291809,0.128508,0.0250829
true,4,1024,3,0.00609307,0.271045,0.0132806,0.0252216,0.177108,0.0209956
true,4,2048,1,0.0241163,0.404691,0.0280494,0.0371992,0.182568,0.032973
true,4,2048,2,0.0234784,0.40433,0.0285095,0.0385964,0.180362,0.034272
true,4,2048,3,0.0217132,0.404241,0.0278386,0.036871,0.182485,0.0325202
true,4,4096,1,0.0834973,0.818612,0.0758155,0.059184,0.187064,0.0549366
true,4,4096,2,0.0894913,0.693055,0.0594694,0.0759784,0.177669,0.0714179
true,4,4096,3,0.167528,0.670959,0.0746789,0.0597519,0.175511,0.0554547
true,4,8192,1,0.331234,2.09765,0.151166,0.108599,0.189118,0.103382
true,4,8192,2,0.355011,1.97778,0.148085,0.118314,0.187738,0.113112
true,4,8192,3,0.343717,1.97241,0.148343,0.116426,0.183797,0.111279
true,4,12288,1,0.79264,4.18135,0.266727,0.158876,0.206662,0.153095
true,4,12288,2,0.796586,4.18269,0.26526,0.160064,0.206377,0.154424
true,4,12288,3,0.708652,4.24087,0.266036,0.155056,0.205694,0.14967
true,4,16384,1,1.39877,7.21879,0.404812,0.202597,0.228545,0.197291
true,4,16384,2,1.39638,7.25252,0.410652,0.217559,0.231685,0.211178
true,4,16384,3,1.34671,7.18859,0.417868,0.241062,0.230758,0.235306
true,4,20480,1,2.90206,11.3772,0.489669,0.257235,0.251428,0.251652
true,4,20480,2,5.13363,11.2821,0.788635,0.261146,0.250238,0.255591
true,4,20480,3,1.99211,11.31,0.599606,0.258886,0.249138,0.252379
true,4,24576,1,3.13647,15.8656,0.796204,0.313813,0.273149,0.307503
true,4,24576,2,3.55377,15.8429,0.814141,0.300438,0.268573,0.294588
true,4,24576,3,2.8877,15.8178,0.758482,0.305038,0.266124,0.298971
true,4,28672,1,4.42969,21.2993,1.04949,0.351971,0.286985,0.345894
true,4,28672,2,4.14121,21.2884,1.09706,0.365904,0.284426,0.359866
true,4,28672,3,4.22681,21.3062,1.04088,0.353624,0.280299,0.347264
true,4,32768,1,5.73444,27.5767,1.31198,0.418783,0.29449,0.412705
true,4,32768,2,5.73272,27.5744,1.31944,0.40492,0.295493,0.398159
true,4,32768,3,4.77274,27.5973,1.01959,0.422551,0.295727,0.415552
true,4,36864,1,8.15595,35.2921,1.7338,0.446083,0.300564,0.439304
true,4,36864,2,7.24808,35.195,1.90517,0.450363,0.317327,0.444314
true,4,36864,3,6.41404,35.1338,1.28162,0.446859,0.301987,0.440589
true,5,1024,1,0.00680584,0.318297,0.0124377,0.0253108,0.226791,0.0207251
true,5,1024,2,0.00760503,0.328709,0.0128294,0.026861,0.237058,0.0224146
true,5,1024,3,0.00632046,0.332576,0.0126983,0.0279895,0.238596,0.0229723
true,5,2048,1,0.0289585,0.44357,0.0284488,0.0360476,0.244943,0.0309126
true,5,2048,2,0.0292101,0.436336,0.028039,0.0340915,0.242686,0.0291914
true,5,2048,3,0.025575,0.446213,0.0275071,0.043237,0.242319,0.0382433
true,5,4096,1,0.174017,0.821158,0.078134,0.0546632,0.260637,0.0491829
true,5,4096,2,0.115351,0.738081,0.0609509,0.0579894,0.241556,0.0533406
true,5,4096,3,0.0951088,0.703234,0.0707228,0.0563653,0.238664,0.0517183
true,5,8192,1,0.396199,1.74507,0.147138,0.0921012,0.255004,0.0862331
true,5,8192,2,0.428179,1.70071,0.147258,0.0916138,0.248582,0.0861699
true,5,8192,3,0.404281,1.71176,0.149237,0.0917379,0.255391,0.0853316
