gpus,N,usr_htod_time,usr_kernel_time,usr_dtoh_time,dep_res_creation_time,dep_res_exec_time,linearization_time
9,24576,9.6881,0.010322,1.17594,N/A,N/A,N/A
9,28672,4.03779,0.0137101,1.18176,N/A,N/A,N/A
9,32768,5.48623,0.0177989,1.90151,N/A,N/A,N/A
9,36864,15.4144,0.022702,1.86653,N/A,N/A,N/A
9,4096,0.103741,0.000603121,0.0929985,N/A,N/A,N/A
9,8192,0.692772,0.00126232,0.182158,N/A,N/A,N/A
10,1024,0.0185026,0.000169497,0.0233127,N/A,N/A,N/A
10,12288,1.72029,0.00249802,0.320824,N/A,N/A,N/A
10,16384,1.37655,0.00431235,0.470099,N/A,N/A,N/A
10,2048,0.0474128,0.000230266,0.0403968,N/A,N/A,N/A
10,20480,2.61285,0.00675054,0.60976,N/A,N/A,N/A
10,24576,6.02601,0.00922662,1.16237,N/A,N/A,N/A
10,28672,4.17784,0.0124933,1.47323,N/A,N/A,N/A
10,32768,11.1034,0.0162729,1.86056,N/A,N/A,N/A
10,36864,7.63958,0.0177094,2.28713,N/A,N/A,N/A
10,4096,0.111156,0.000387408,0.0912751,N/A,N/A,N/A
10,8192,0.398951,0.0011217,0.225157,N/A,N/A,N/A
11,1024,0.0183387,0.000168573,0.0202971,N/A,N/A,N/A
11,12288,2.66187,0.00231184,0.283175,N/A,N/A,N/A
11,16384,1.945,0.00386764,0.626122,N/A,N/A,N/A
11,2048,0.0447527,0.000227591,0.0401943,N/A,N/A,N/A
11,20480,4.22271,0.00614928,0.694664,N/A,N/A,N/A
11,24576,3.59166,0.00787382,1.15053,N/A,N/A,N/A
11,28672,4.89804,0.00774444,1.50632,N/A,N/A,N/A
11,32768,6.82579,0.0101121,1.84785,N/A,N/A,N/A
11,36864,15.5815,0.0189693,2.05839,N/A,N/A,N/A
11,4096,0.143132,0.000401126,0.0917519,N/A,N/A,N/A
11,8192,0.49384,0.00104717,0.205803,N/A,N/A,N/A
12,1024,0.0202032,0.000172503,0.0203058,N/A,N/A,N/A
12,12288,1.45444,0.0016689,0.396756,N/A,N/A,N/A
12,16384,1.6116,0.00266693,0.598183,N/A,N/A,N/A
12,2048,0.0509086,0.000215962,0.0443749,N/A,N/A,N/A
12,20480,5.20544,0.00579035,0.913295,N/A,N/A,N/A
12,24576,5.57369,0.00700653,0.81036,N/A,N/A,N/A
12,28672,7.33037,0.00724004,1.37679,N/A,N/A,N/A
12,32768,10.6206,0.00924737,1.45178,N/A,N/A,N/A
12,36864,16.783,0.0116804,2.24094,N/A,N/A,N/A
12,4096,0.159022,0.000378412,0.0987118,N/A,N/A,N/A
12,8192,0.644742,0.00106367,0.230462,N/A,N/A,N/A
13,1024,0.0260267,0.000237735,0.020006,N/A,N/A,N/A
13,12288,2.11308,0.0020749,0.413136,N/A,N/A,N/A
13,16384,3.16115,0.00338849,0.637686,N/A,N/A,N/A
13,2048,0.0581934,0.000258692,0.038955,N/A,N/A,N/A
13,20480,4.42936,0.00551872,0.859578,N/A,N/A,N/A
13,24576,4.54528,0.00757697,1.07043,N/A,N/A,N/A
13,28672,7.84904,0.0100047,1.16115,N/A,N/A,N/A
13,32768,11.9453,0.0128339,1.5013,N/A,N/A,N/A
13,36864,10.4293,0.0165396,1.63735,N/A,N/A,N/A
13,4096,0.165813,0.000365164,0.090546,N/A,N/A,N/A
13,8192,0.751023,0.00114032,0.225665,N/A,N/A,N/A
14,1024,0.0257453,0.000225328,0.0206205,N/A,N/A,N/A
14,12288,2.07897,0.00213446,0.388997,N/A,N/A,N/A
14,16384,2.40299,0.00313824,0.512025,N/A,N/A,N/A
14,2048,0.0724878,0.000253429,0.0432795,N/A,N/A,N/A
14,20480,3.64114,0.00515532,0.713626,N/A,N/A,N/A
14,24576,7.04102,0.0068336,0.865146,N/A,N/A,N/A
14,28672,5.34287,0.00940099,1.26928,N/A,N/A,N/A
14,32768,8.74232,0.0116976,1.51875,N/A,N/A,N/A
14,36864,12.8096,0.0152923,1.79564,N/A,N/A,N/A
14,4096,0.198786,0.00036781,0.089506,N/A,N/A,N/A
14,8192,0.650039,0.000924645,0.189061,N/A,N/A,N/A
15,1024,0.0293013,0.000265373,0.0209743,N/A,N/A,N/A
15,12288,1.97681,0.00204605,0.293938,N/A,N/A,N/A
15,16384,2.81402,0.00296886,0.444265,N/A,N/A,N/A
15,2048,0.0785056,0.000291945,0.0406488,N/A,N/A,N/A
15,20480,3.90624,0.00467074,0.840441,N/A,N/A,N/A
15,24576,7.88754,0.00646131,0.820141,N/A,N/A,N/A
15,28672,8.93681,0.00863066,1.0018,N/A,N/A,N/A
15,32768,10.9637,0.0110232,1.20047,N/A,N/A,N/A
15,36864,13.1649,0.0121667,1.48591,N/A,N/A,N/A
15,4096,0.240048,0.0004185,0.0734021,N/A,N/A,N/A
15,8192,0.713583,0.000885547,0.225641,N/A,N/A,N/A
16,1024,0.03116,0.000246266,0.0219461,N/A,N/A,N/A
16,12288,2.30089,0.0020288,0.413154,N/A,N/A,N/A
16,16384,2.92266,0.00272824,0.633256,N/A,N/A,N/A
16,2048,0.0698562,0.000284528,0.0399942,N/A,N/A,N/A
16,20480,4.49004,0.00437105,0.622614,N/A,N/A,N/A
16,24576,4.71202,0.00419222,0.855001,N/A,N/A,N/A
16,28672,11.598,0.00546129,1.548,N/A,N/A,N/A
16,32768,13.3613,0.0104566,1.37789,N/A,N/A,N/A
16,36864,19.7801,0.013674,2.21712,N/A,N/A,N/A
16,4096,0.302091,0.000375861,0.0946112,N/A,N/A,N/A
16,8192,0.725676,0.000877124,0.232916,N/A,N/A,N/A
