gpus,N,usr_htod_time,usr_kernel_time,usr_dtoh_time,dep_res_creation_time,dep_res_exec_time,linearization_time
3,36864,5.19221,163.853,1.59206,0.926544,0.427122,0.6977
3,4096,0.079545,2.59561,0.0718433,0.240472,0.237742,0.177795
3,4096,0.0999907,2.63308,0.0717216,0.241221,0.240988,0.179318
3,4096,0.101126,2.62755,0.0755599,0.240963,0.244076,0.177881
3,8192,0.267317,8.57489,0.157168,0.32905,0.25099,0.2485
3,8192,0.38326,8.55728,0.183522,0.318794,0.25553,0.2383
3,8192,0.389486,8.53949,0.179683,0.317654,0.251822,0.236666
4,1024,0.00788503,0.737004,0.0143582,0.196697,0.358982,0.143541
4,1024,0.00791387,0.733879,0.0143202,0.193647,0.362563,0.141108
4,1024,0.00931851,0.739172,0.0133666,0.195216,0.367567,0.14333
4,12288,0.752235,14.607,0.265633,0.398324,0.443703,0.26713
4,12288,0.758501,14.6153,0.351202,0.395177,0.421477,0.262338
4,12288,1.03931,14.6495,0.266234,0.404417,0.446901,0.273026
4,16384,1.2407,24.9682,0.40284,0.472679,0.476211,0.315014
4,16384,1.49843,25.0355,0.413469,0.470164,0.478524,0.310265
4,16384,1.84975,25.0078,0.417464,0.509475,0.475455,0.350395
4,2048,0.0292636,1.1873,0.0307292,0.215018,0.373396,0.152265
4,2048,0.0302672,1.17298,0.0327713,0.215225,0.367954,0.156122
4,2048,0.0360017,1.18242,0.032078,0.217046,0.365404,0.156903
4,20480,1.93631,39.8303,0.597915,0.541553,0.511636,0.355644
4,20480,2.17956,39.8488,0.579693,0.554766,0.509503,0.356175
4,20480,2.18361,39.848,0.578369,0.550287,0.510624,0.363579
4,24576,3.00843,55.5141,0.794519,0.623943,0.559761,0.406352
4,24576,3.14094,55.4924,0.810473,0.624929,0.551367,0.410709
4,24576,3.15099,55.5003,0.802638,0.622785,0.557632,0.408724
4,28672,3.43465,74.6046,1.03612,0.705586,0.603657,0.461013
4,28672,3.91977,74.5913,1.03277,0.695059,0.583767,0.451029
4,28672,3.95051,74.6374,1.02871,0.69664,0.589338,0.448372
4,32768,4.94492,97.0421,1.32421,0.793216,0.633546,0.497593
4,32768,5.34067,97.0639,1.28334,0.783375,0.612492,0.50713
4,32768,5.51388,97.0333,1.28185,0.782529,0.621072,0.507719
4,36864,6.44751,123.692,1.57328,0.855657,0.659125,0.545043
4,36864,6.73488,123.693,1.57136,0.852424,0.656475,0.546639
4,36864,6.97227,123.74,1.57876,0.860761,0.667247,0.550837
4,4096,0.0975008,2.2535,0.0689483,0.252683,0.358685,0.178038
4,4096,0.117614,2.24462,0.0712931,0.251059,0.359539,0.174293
4,4096,0.125233,2.23667,0.0721107,0.248912,0.356569,0.175014
4,8192,0.350936,6.73738,0.194194,0.329992,0.381066,0.225766
4,8192,0.452719,6.73613,0.156981,0.322152,0.379318,0.216756
4,8192,0.561468,6.72796,0.176349,0.318844,0.387866,0.217187
5,1024,0.00818066,0.847125,0.0134437,0.209589,0.478811,0.154059
5,1024,0.0105343,0.837869,0.0139559,0.204005,0.473031,0.150079
5,1024,0.0110794,0.848928,0.0142539,0.209337,0.478705,0.152234
5,12288,0.793609,12.0764,0.231532,0.408225,0.568959,0.249235
5,12288,1.0093,12.1152,0.264979,0.413929,0.599866,0.249419
5,12288,1.03251,12.1068,0.266276,0.41009,0.59453,0.251183
5,16384,1.72647,20.3458,0.411712,0.489193,0.641602,0.293038
5,16384,2.09048,20.3071,0.419861,0.480877,0.632573,0.284779
5,16384,2.4496,20.3373,0.41599,0.487956,0.634049,0.290652
5,2048,0.0273404,1.2111,0.0282532,0.225357,0.485963,0.160277
5,2048,0.0308482,1.21046,0.0327199,0.224993,0.488491,0.160462
5,2048,0.0413465,1.20888,0.0311618,0.224796,0.488658,0.160452
5,20480,2.51076,32.2545,0.59917,0.556465,0.681375,0.323305
5,20480,2.5755,32.2707,0.589744,0.557148,0.67352,0.325154
5,20480,2.59277,32.2816,0.589606,0.565315,0.684116,0.329874
5,24576,3.71879,44.9576,0.797478,0.631964,0.739883,0.361551
5,24576,3.8168,44.9395,0.795558,0.634319,0.734734,0.362707
5,24576,3.82757,44.9572,0.790093,0.634273,0.741549,0.363129
5,28672,4.90508,60.0072,1.04117,0.708599,0.78461,0.401878
5,28672,5.08088,60.0916,1.0378,0.711108,0.789281,0.401447
5,28672,5.18726,60.1015,1.02216,0.710514,0.787541,0.399626
5,32768,6.15318,78.1696,1.28999,0.787978,0.839316,0.440624
5,32768,6.56955,78.2046,1.27973,0.790714,0.833118,0.442694
5,32768,6.59029,78.2002,1.28657,0.789582,0.818803,0.44256
5,36864,7.76679,99.294,1.57732,0.867127,0.903997,0.481432
5,36864,8.05197,99.3169,1.59223,0.866439,0.891501,0.479743
5,36864,8.28581,99.3107,1.59217,0.87641,0.868435,0.487555
5,4096,0.112878,2.12191,0.0591045,0.262719,0.496242,0.179023
5,4096,0.114756,2.09325,0.0709851,0.263319,0.475892,0.178688
5,4096,0.138738,2.10383,0.0714714,0.265424,0.47844,0.177072
5,8192,0.529182,5.77688,0.184755,0.339066,0.507794,0.214432
5,8192,0.532937,5.75214,0.183117,0.335335,0.507697,0.21343
5,8192,0.884976,5.75955,0.19758,0.344546,0.526669,0.222284
6,1024,0.0111399,0.95968,0.0143799,0.219189,0.594931,0.161313
6,1024,0.0115585,0.958621,0.0145262,0.218736,0.593406,0.158975
6,1024,0.0121496,0.948481,0.0142775,0.219231,0.584561,0.1601
6,12288,1.26762,10.467,0.264633,0.431631,0.747662,0.242423
6,12288,1.36563,10.4345,0.267049,0.430409,0.742894,0.240183
6,12288,1.80554,10.4219,0.355139,0.431131,0.704834,0.240493
6,16384,1.91218,17.4281,0.411042,0.512184,0.787127,0.274284
6,16384,2.86303,17.3692,0.41563,0.50968,0.795244,0.274734
6,16384,4.04718,17.4159,0.418173,0.518601,0.793232,0.283609
6,2048,0.0343218,1.27213,0.0317337,0.237926,0.610095,0.16682
6,2048,0.0395707,1.28363,0.0326572,0.240495,0.611853,0.167616
6,2048,0.0486878,1.26942,0.0311876,0.240513,0.600855,0.169603
6,20480,2.97917,27.3937,0.601896,0.587551,0.848319,0.306764
6,20480,3.07139,27.3681,0.590583,0.586358,0.839481,0.306192
6,20480,3.07983,27.3827,0.5971,0.585881,0.845904,0.305018
6,24576,4.49493,37.893,0.796386,0.667026,0.916875,0.341488
6,24576,4.62184,37.8936,0.799178,0.670374,0.915899,0.343205
6,24576,4.62916,37.91,0.795493,0.675538,0.922626,0.349016
6,28672,5.82302,50.6059,1.04557,0.74131,0.990367,0.367006
6,28672,6.27452,50.6229,1.03768,0.746127,0.980238,0.367381
6,28672,6.40484,50.5906,1.02819,0.738362,0.985718,0.365252
6,32768,8.00781,65.7605,1.29172,0.832711,1.03735,0.399162
6,32768,8.20801,65.7298,1.29563,0.822523,1.02333,0.401058
6,32768,8.58847,65.7393,1.28956,0.833095,1.02586,0.409983
6,36864,10.1317,83.5621,1.58786,0.899779,1.10559,0.42962
6,36864,10.3446,83.5361,1.59123,0.90103,1.09365,0.429674
6,36864,10.6006,83.5285,1.5832,0.903972,1.07898,0.433708
6,4096,0.136669,2.07307,0.0723505,0.277294,0.603682,0.181981
6,4096,0.139737,2.16191,0.0598851,0.28133,0.637817,0.18383
6,4096,0.153772,2.10503,0.0712844,0.280274,0.61008,0.183592
